area,floorRange,typeOfSale,price,propertyType,typeOfArea,mktSegment,Year,region
506.0,01-05,Resale,8400000,Apartment,Strata,CCR,2021,Central
123.0,01-05,Resale,1550000,Condominium,Strata,RCR,2020,West
70.0,21-25,Resale,1838000,Apartment,Strata,CCR,2024,Central
37.0,01-05,Resale,773000,Condominium,Strata,RCR,2023,West
199.1,Ground,Resale,3120000,Terrace,Land,RCR,2020,West
90.0,21-25,Resale,1800000,Apartment,Strata,CCR,2024,Central
358.6,Ground,Resale,6800000,Terrace,Land,CCR,2021,Central
73.0,01-05,Resale,1030000,Apartment,Strata,RCR,2023,West
50.0,01-05,Resale,1180000,Apartment,Strata,CCR,2024,Central
117.0,01-05,Resale,2000000,Condominium,Strata,RCR,2024,West
125.0,31-35,Resale,4658600,Apartment,Strata,CCR,2019,Central
115.0,Ground,Resale,1220000,Condominium,Strata,RCR,2020,West
226.2,Ground,Resale,2168000,Terrace,Land,OCR,2021,West
85.0,06-10,Resale,1508000,Condominium,Strata,OCR,2024,West
81.0,11-15,New Sale,1996000,Apartment,Strata,CCR,2024,Central
98.0,01-05,Resale,1030000,Apartment,Strata,RCR,2020,West
58.0,01-05,New Sale,1220603,Apartment,Strata,RCR,2019,West
194.0,Ground,Resale,3280000,Terrace,Land,OCR,2020,West
294.0,06-10,Resale,5200000,Condominium,Strata,CCR,2024,Central
83.0,01-05,Resale,880000,Apartment,Strata,RCR,2020,West
193.0,01-05,Resale,2400000,Strata Terrace,Strata,RCR,2021,West
60.0,06-10,Resale,1080000,Condominium,Strata,OCR,2024,West
113.0,01-05,Resale,1550000,Apartment,Strata,RCR,2019,West
47.0,26-30,Resale,1150000,Apartment,Strata,RCR,2024,Central
282.6,Ground,Resale,3888000,Terrace,Land,RCR,2021,West
52.0,11-15,Resale,1020000,Apartment,Strata,RCR,2024,Central
96.0,06-10,Resale,1650000,Apartment,Strata,CCR,2020,Central
75.0,26-30,Resale,960000,Apartment,Strata,CCR,2023,Central
99.0,01-05,Resale,1550000,Apartment,Strata,RCR,2024,West
89.0,11-15,Resale,1730000,Apartment,Strata,RCR,2023,Central
354.3,Ground,Resale,4630000,Semi-detached,Land,RCR,2021,Central
132.0,01-05,Resale,2180000,Apartment,Strata,RCR,2023,Central
86.0,16-20,Resale,1780000,Condominium,Strata,RCR,2024,Central
160.0,41-45,Resale,5163000,Apartment,Strata,CCR,2023,Central
105.0,01-05,Resale,1750000,Condominium,Strata,RCR,2024,Central
257.4,Ground,Resale,3750000,Semi-detached,Land,RCR,2021,West
708.0,Ground,Resale,4700000,Strata Detached,Strata,RCR,2024,Central
133.0,01-05,Resale,2350000,Apartment,Strata,RCR,2019,Central
54.0,01-05,Resale,1050000,Apartment,Strata,CCR,2021,Central
63.0,31-35,Resale,1150000,Apartment,Strata,CCR,2024,Central
198.4,Ground,Resale,3400000,Terrace,Land,OCR,2021,West
43.0,01-05,Resale,852000,Condominium,Strata,OCR,2024,West
904.9,Ground,Resale,24000000,Detached,Land,CCR,2020,Central
73.0,26-30,Resale,1400000,Condominium,Strata,RCR,2023,Central
225.1,Ground,Resale,3350000,Terrace,Land,RCR,2020,West
116.0,01-05,Resale,1590000,Condominium,Strata,OCR,2024,West
69.0,06-10,Resale,1740000,Condominium,Strata,RCR,2024,Central
134.0,01-05,Resale,3300000,Apartment,Strata,CCR,2024,Central
264.0,16-20,Resale,9800000,Condominium,Strata,CCR,2023,Central
50.0,11-15,New Sale,1990000,Apartment,Strata,CCR,2019,Central
144.0,01-05,Resale,3300000,Condominium,Strata,CCR,2024,Central
405.1,Ground,Resale,7900000,Detached,Land,CCR,2020,Central
508.5,Ground,Resale,8000000,Detached,Land,CCR,2020,Central
187.6,Ground,Resale,3400000,Terrace,Land,RCR,2022,East
380.2,Ground,Resale,6650000,Semi-detached,Land,CCR,2020,Central
42.0,06-10,Resale,645000,Apartment,Strata,RCR,2024,East
100.0,06-10,Resale,2350000,Apartment,Strata,CCR,2023,Central
473.2,Ground,Resale,14160000,Semi-detached,Land,CCR,2024,Central
162.0,01-05,Resale,3850000,Condominium,Strata,CCR,2023,Central
106.0,01-05,Resale,2000000,Apartment,Strata,CCR,2023,Central
292.0,31-35,Resale,5220000,Condominium,Strata,CCR,2024,Central
89.0,01-05,Resale,1780000,Apartment,Strata,CCR,2023,Central
558.9,Ground,Resale,11500000,Semi-detached,Land,CCR,2024,Central
113.0,01-05,Resale,2425000,Condominium,Strata,CCR,2024,Central
268.0,01-05,Resale,4288000,Condominium,Strata,CCR,2024,Central
96.0,06-10,Resale,2080000,Apartment,Strata,CCR,2020,Central
47.0,16-20,Resale,1150000,Apartment,Strata,CCR,2024,Central
190.6,Ground,Resale,4030000,Terrace,Land,CCR,2020,Central
62.0,01-05,Sub Sale,1910000,Apartment,Strata,CCR,2023,Central
55.0,06-10,Resale,810000,Apartment,Strata,RCR,2024,East
177.0,01-05,Resale,3450000,Condominium,Strata,CCR,2019,Central
372.8,Ground,Resale,6100000,Semi-detached,Land,CCR,2021,Central
304.0,Ground,Resale,3750000,Strata Terrace,Strata,CCR,2023,Central
163.0,06-10,Resale,3903800,Apartment,Strata,CCR,2023,Central
217.0,16-20,Resale,4000000,Condominium,Strata,CCR,2024,Central
1335.9,Ground,Resale,21500000,Detached,Land,CCR,2020,Central
185.1,Ground,Resale,8500000,Terrace,Land,CCR,2024,Central
106.0,01-05,Resale,1680000,Condominium,Strata,CCR,2023,Central
351.0,11-15,Resale,9200000,Condominium,Strata,CCR,2024,Central
66.0,06-10,Resale,1620000,Apartment,Strata,CCR,2023,Central
252.4,Ground,Resale,5821000,Terrace,Land,CCR,2024,Central
174.0,01-05,Resale,2500000,Apartment,Strata,CCR,2021,Central
87.0,06-10,Resale,893000,Apartment,Strata,RCR,2020,East
219.0,06-10,Resale,5000000,Apartment,Strata,CCR,2023,Central
102.0,01-05,Resale,1500000,Apartment,Strata,OCR,2022,East
46.0,06-10,Resale,888888,Apartment,Strata,CCR,2021,Central
123.0,01-05,Resale,1050000,Apartment,Strata,RCR,2021,East
53.0,01-05,Resale,1675000,Apartment,Strata,CCR,2023,Central
111.0,06-10,Resale,1900000,Apartment,Strata,RCR,2024,East
35.0,01-05,Resale,850000,Apartment,Strata,CCR,2023,Central
62.0,01-05,Resale,1385000,Apartment,Strata,RCR,2024,East
187.0,06-10,Resale,3999000,Apartment,Strata,CCR,2019,Central
621.2,Ground,Resale,5788735,Semi-detached,Land,OCR,2020,East
84.0,01-05,Resale,2100000,Apartment,Strata,CCR,2024,Central
455.7,Ground,Resale,12280000,Semi-detached,Land,CCR,2023,Central
1631.2,Ground,Resale,24500000,Detached,Land,CCR,2021,Central
202.1,Ground,Resale,5480000,Semi-detached,Land,CCR,2021,Central
185.0,01-05,Resale,4620000,Condominium,Strata,CCR,2023,Central
107.0,01-05,Resale,1200000,Apartment,Strata,RCR,2021,East
102.0,01-05,Resale,1380000,Apartment,Strata,RCR,2020,Central
53.0,01-05,Resale,685000,Apartment,Strata,RCR,2019,Central
947.3,Ground,Resale,13000000,Detached,Land,OCR,2021,East
83.0,01-05,Resale,2353230,Apartment,Strata,CCR,2024,Central
74.0,21-25,New Sale,2859000,Apartment,Strata,CCR,2024,Central
94.0,06-10,Resale,1735000,Condominium,Strata,CCR,2024,Central
300.8,Ground,Resale,4950000,Semi-detached,Land,CCR,2020,Central
115.0,06-10,Resale,1530000,Apartment,Strata,RCR,2023,East
364.5,Ground,Resale,11200000,Semi-detached,Land,CCR,2023,Central
66.0,01-05,New Sale,2133000,Apartment,Strata,CCR,2024,Central
224.0,01-05,Resale,5100000,Condominium,Strata,CCR,2023,Central
42.0,01-05,Resale,720000,Apartment,Strata,RCR,2024,East
75.0,06-10,Resale,1288888,Condominium,Strata,OCR,2024,East
93.0,21-25,Resale,1850000,Apartment,Strata,RCR,2023,East
1228.8,Ground,Resale,15000000,Detached,Land,CCR,2020,Central
589.0,Ground,Resale,4400000,Strata Detached,Strata,CCR,2021,Central
47.0,01-05,Resale,968000,Apartment,Strata,CCR,2023,Central
301.8,Ground,Resale,10680000,Semi-detached,Land,CCR,2023,Central
292.9,Ground,Resale,7000000,Terrace,Land,OCR,2024,East
117.0,01-05,Resale,1250000,Apartment,Strata,RCR,2023,East
55.0,01-05,Resale,853000,Apartment,Strata,OCR,2024,East
233.0,Ground,Resale,2500000,Terrace,Land,RCR,2020,East
167.2,Ground,Resale,2250000,Terrace,Land,OCR,2019,East
67.0,06-10,Resale,1081500,Apartment,Strata,CCR,2021,Central
249.0,16-20,Resale,7250000,Condominium,Strata,CCR,2023,Central
103.0,06-10,Resale,2120000,Apartment,Strata,CCR,2023,Central
282.0,11-15,Resale,3750000,Condominium,Strata,RCR,2024,East
124.0,01-05,Resale,1150000,Apartment,Strata,RCR,2021,East
41.0,06-10,Resale,1008000,Apartment,Strata,CCR,2024,Central
298.1,Ground,Resale,5120000,Semi-detached,Land,CCR,2020,Central
126.0,06-10,Resale,2508800,Apartment,Strata,CCR,2023,Central
290.4,Ground,Resale,3300000,Terrace,Land,OCR,2021,East
54.0,01-05,Resale,715000,Apartment,Strata,RCR,2020,East
148.0,01-05,Resale,1455440,Apartment,Strata,RCR,2023,East
60.0,01-05,Resale,830000,Apartment,Strata,RCR,2021,Central
94.0,01-05,Resale,968888,Apartment,Strata,RCR,2020,East
448.0,Ground,Resale,4580000,Semi-detached,Land,OCR,2020,East
297.1,Ground,Resale,6250000,Semi-detached,Land,CCR,2019,Central
394.0,Ground,Resale,8500000,Detached,Land,CCR,2019,Central
43.0,11-15,Resale,1150000,Condominium,Strata,CCR,2023,Central
