area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,mktSegment
2187,01-05,9,0321,3,47800000,Apartment,11,Strata,Freehold,CCR
61,06-10,1,0324,3,1420000,Apartment,14,Strata,99 yrs lease commencing from 2018,RCR
315,-,1,0623,3,3200000,Strata Terrace,19,Strata,Freehold,OCR
127,01-05,1,0523,3,1603000,Apartment,15,Strata,Freehold,OCR
86,01-05,1,0423,3,1530000,Apartment,15,Strata,Freehold,OCR
174,11-15,1,1121,3,2448000,Apartment,10,Strata,Freehold,CCR
157,01-05,1,0822,3,1700000,Apartment,14,Strata,Freehold,RCR
43,06-10,1,1223,3,820000,Apartment,15,Strata,Freehold,RCR
205.9,-,1,0322,3,2450000,Terrace,19,Land,99 yrs lease commencing from 1993,OCR
102,01-05,1,0623,3,1200000,Apartment,19,Strata,999 yrs lease commencing from 1886,OCR
121,06-10,1,0723,1,2752000,Apartment,16,Strata,99 yrs lease commencing from 2022,OCR
301.4,-,1,1220,3,3100000,Terrace,16,Land,Freehold,OCR
278,01-05,1,0723,3,7225000,Condominium,10,Strata,Freehold,CCR
88,06-10,1,0523,3,1738000,Condominium,10,Strata,Freehold,CCR
253,01-05,1,0922,3,5080000,Condominium,10,Strata,Freehold,CCR
557.4,-,1,0821,3,4750000,Detached,17,Land,Freehold,OCR
220.4,-,1,0721,3,3168000,Terrace,19,Land,999 yrs lease commencing from 1875,OCR
477.6,-,1,0522,3,5850000,Detached,19,Land,999 yrs lease commencing from 1886,OCR
188,01-05,1,1220,3,1850000,Apartment,14,Strata,Freehold,OCR
196,06-10,1,0623,3,3530000,Condominium,15,Strata,Freehold,OCR
60,26-30,1,0624,3,1017000,Condominium,05,Strata,99 yrs lease commencing from 2015,OCR
37,01-05,1,1023,3,693000,Apartment,15,Strata,Freehold,OCR
267.4,-,1,0424,3,3458888,Terrace,19,Land,99 yrs lease commencing from 1997,OCR
129,01-05,1,0523,1,3540700,Condominium,11,Strata,Freehold,CCR
194,01-05,1,0122,3,2450000,Apartment,11,Strata,Freehold,CCR
103,01-05,1,0522,3,1460000,Apartment,15,Strata,Freehold,OCR
110,01-05,1,0223,3,1670000,Apartment,16,Strata,Freehold,OCR
155,01-05,1,1119,3,1938000,Condominium,05,Strata,Freehold,RCR
89,01-05,1,0223,3,1200000,Apartment,17,Strata,946 yrs lease commencing from 1937,OCR
357,06-10,1,0722,3,22289400,Condominium,10,Strata,Freehold,CCR
144,16-20,1,0123,3,6619000,Condominium,09,Strata,Freehold,CCR
179.5,-,1,0923,3,8800000,Terrace,09,Land,Freehold,CCR
334.2,-,1,0523,3,4888888,Semi-detached,13,Land,Freehold,RCR
308,-,1,0922,3,6250000,Semi-detached,21,Land,Freehold,RCR
116,01-05,1,0821,3,1410000,Apartment,15,Strata,Freehold,RCR
231,01-05,1,0922,3,4930000,Condominium,09,Strata,Freehold,CCR
167,01-05,1,0523,3,2360000,Apartment,15,Strata,Freehold,OCR
85,11-15,1,0723,3,1418000,Condominium,05,Strata,Freehold,OCR
178.6,-,1,0920,3,1600000,Terrace,14,Land,Freehold,RCR
127,01-05,1,1020,3,1380000,Apartment,05,Strata,Freehold,RCR
144,01-05,1,0223,3,2080000,Apartment,12,Strata,99 yrs lease commencing from 1995,RCR
85,01-05,1,1121,3,1200000,Apartment,15,Strata,Freehold,RCR
116,01-05,1,1019,3,1200000,Apartment,15,Strata,Freehold,OCR
50,06-10,1,1123,3,1075000,Apartment,10,Strata,Freehold,CCR
369,-,1,0724,3,7388888,Semi-detached,21,Land,Freehold,RCR
218.5,-,1,0523,3,3588000,Terrace,19,Land,99 yrs lease commencing from 2011,OCR
87,01-05,1,1220,3,1290000,Apartment,15,Strata,Freehold,RCR
178,01-05,1,1222,3,2018000,Apartment,10,Strata,103 yrs lease commencing from 1974,CCR
53,01-05,1,0623,3,730000,Apartment,19,Strata,99 yrs lease commencing from 2010,OCR
122,01-05,1,1122,3,1850000,Apartment,12,Strata,Freehold,RCR
99,01-05,1,0224,3,1640000,Apartment,05,Strata,99 yrs lease commencing from 2013,OCR
151,06-10,1,0623,3,3400000,Condominium,10,Strata,Freehold,CCR
210,06-10,1,0123,3,7250000,Condominium,10,Strata,Freehold,CCR
1433,01-05,1,0424,3,49000000,Apartment,20,Land,Freehold,RCR
309.3,-,1,0321,3,3500000,Semi-detached,16,Land,Freehold,OCR
159,01-05,1,0322,3,3228000,Apartment,10,Strata,Freehold,CCR
195,01-05,1,1221,3,3300000,Condominium,03,Strata,Freehold,RCR
40,06-10,1,0623,3,780000,Apartment,11,Strata,Freehold,CCR
36,01-05,1,0323,3,618000,Apartment,14,Strata,Freehold,OCR
77,36-40,1,0424,3,1960000,Apartment,03,Strata,99 yrs lease commencing from 2016,RCR
85,21-25,1,0524,1,2422000,Apartment,05,Strata,99 yrs lease commencing from 2022,RCR
43,01-05,1,1123,3,737000,Apartment,08,Strata,Freehold,RCR
347.4,-,1,0822,3,8380000,Terrace,11,Land,Freehold,CCR
70,06-10,1,1123,3,1435000,Apartment,07,Strata,99 yrs lease commencing from 2014,RCR
150,01-05,1,0321,3,3000000,Condominium,10,Strata,Freehold,CCR
94,01-05,1,0423,3,1198000,Apartment,14,Strata,Freehold,RCR
225.4,-,1,0922,3,4390000,Terrace,05,Land,Freehold,RCR
217.9,-,1,0223,3,5700000,Semi-detached,10,Land,99 yrs lease commencing from 2013,CCR
191,-,1,0522,3,2350000,Strata Terrace,19,Strata,999 yrs lease commencing from 1876,OCR
39,01-05,1,0424,3,780000,Condominium,05,Strata,Freehold,RCR
112,06-10,1,0623,1,2928420,Condominium,15,Strata,99 yrs lease commencing from 2021,RCR
116,01-05,1,0821,3,1880000,Apartment,10,Strata,Freehold,CCR
117,01-05,1,0823,3,1880000,Condominium,20,Strata,Freehold,RCR
130,01-05,1,0523,3,1880000,Apartment,15,Strata,Freehold,OCR
364,-,1,0222,3,3250000,Strata Terrace,19,Strata,Freehold,OCR
162,11-15,1,0623,1,4800000,Apartment,09,Strata,Freehold,CCR
679,-,1,0521,3,5500000,Strata Semi-detached,10,Strata,Freehold,CCR
140,06-10,1,0722,3,2730000,Apartment,15,Strata,Freehold,RCR
390.8,-,1,0222,3,5800000,Terrace,19,Land,Freehold,OCR
157.5,-,1,0523,3,4038000,Terrace,20,Land,Freehold,RCR
403.5,-,1,1021,3,5240000,Detached,19,Land,Freehold,OCR
284.2,-,1,0124,3,6300000,Terrace,19,Land,Freehold,OCR
96,01-05,1,0922,3,1365000,Apartment,19,Strata,Freehold,OCR
72,11-15,1,0424,3,1122888,Condominium,18,Strata,99 yrs lease commencing from 2012,OCR
79,16-20,1,0623,3,1260000,Condominium,15,Strata,99 yrs lease commencing from 1997,RCR
368.4,-,1,0321,3,7000000,Semi-detached,11,Land,Freehold,CCR
227.1,-,1,0721,3,6450000,Semi-detached,11,Land,999 yrs lease commencing from 1991,CCR
108,16-20,1,1023,3,2075000,Apartment,09,Strata,Freehold,CCR
141,06-10,1,0524,3,1720000,Condominium,16,Strata,99 yrs lease commencing from 1990,OCR
144,11-15,1,0524,3,3950000,Condominium,10,Strata,Freehold,CCR
176.8,-,1,0821,3,3550000,Terrace,20,Land,Freehold,RCR
80,11-15,1,0623,3,1488000,Condominium,13,Strata,99 yrs lease commencing from 2008,RCR
223,01-05,1,0723,3,2400000,Apartment,05,Strata,956 yrs lease commencing from 1928,OCR
166.6,-,1,0323,3,3400000,Terrace,15,Land,Freehold,RCR
159.4,-,1,0622,3,3100000,Terrace,15,Land,Freehold,OCR
325,06-10,1,0723,3,8430000,Apartment,10,Strata,Freehold,CCR
412,-,1,0623,3,7150000,Detached,16,Land,Freehold,OCR
85,36-40,1,0424,3,2000000,Apartment,03,Strata,99 yrs lease commencing from 2017,RCR
137,01-05,1,0122,3,1900000,Condominium,05,Strata,Freehold,RCR
116,01-05,1,1123,3,1990000,Apartment,15,Strata,Freehold,RCR
121,16-20,1,1123,3,2000000,Condominium,19,Strata,99 yrs lease commencing from 1995,OCR
154,-,1,0922,3,1820888,Condominium,16,Strata,Freehold,OCR
269,31-35,1,0922,3,4200000,Condominium,11,Strata,Freehold,CCR
