area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,mktSegment
318.8,-,1,1021,3,6700000,Semi-detached,10,Land,Freehold,CCR
202.2,-,1,0624,3,4928000,Semi-detached,14,Land,Freehold,OCR
291.3,-,1,0321,3,3150000,Terrace,15,Land,Freehold,RCR
87,01-05,1,0120,3,1050000,Apartment,15,Strata,Freehold,OCR
161,01-05,1,0123,3,2100000,Apartment,15,Strata,Freehold,OCR
73,01-05,1,0223,3,1133000,Apartment,15,Strata,Freehold,RCR
151.2,-,1,0424,3,3750000,Terrace,19,Land,Freehold,OCR
188.3,-,1,0621,3,2994000,Terrace,14,Land,Freehold,OCR
76,06-10,1,0624,3,920000,Apartment,12,Strata,99 yrs lease commencing from 1992,RCR
139.4,-,1,0921,3,2400266,Terrace,13,Land,Freehold,RCR
97,01-05,1,1223,3,1500000,Apartment,21,Strata,999 yrs lease commencing from 1884,RCR
127,06-10,1,0424,3,2550000,Apartment,15,Strata,Freehold,RCR
113,01-05,1,0623,3,1640000,Apartment,10,Strata,Freehold,CCR
237,-,1,0721,3,4920000,Semi-detached,15,Land,Freehold,OCR
188,-,1,0222,3,2830000,Terrace,20,Land,Freehold,OCR
248.5,-,1,0723,3,4700000,Terrace,20,Land,Freehold,RCR
747,01-05,3,0421,3,17000000,Apartment,10,Strata,Freehold,CCR
101,06-10,1,0524,1,2944000,Apartment,05,Strata,99 yrs lease commencing from 2022,RCR
325,01-05,1,0623,3,4950000,Condominium,05,Strata,Freehold,RCR
148.6,-,1,0421,3,2100000,Terrace,19,Land,Freehold,OCR
280,-,1,0121,3,3018000,Semi-detached,10,Land,99 yrs lease commencing from 1994,CCR
150,11-15,1,0524,3,2560000,Apartment,01,Strata,99 yrs lease commencing from 1980,RCR
135,11-15,1,1023,3,1988000,Condominium,20,Strata,99 yrs lease commencing from 2002,OCR
58,01-05,1,1022,3,1779205,Apartment,10,Strata,Freehold,CCR
165,01-05,1,1022,3,2100000,Apartment,21,Strata,Freehold,RCR
190.5,-,1,0223,3,4588000,Terrace,21,Land,Freehold,RCR
50,01-05,1,0623,3,880000,Apartment,14,Strata,Freehold,OCR
686.2,-,1,1121,3,21000000,Detached,10,Land,Freehold,CCR
103,01-05,1,0323,3,2100000,Apartment,10,Strata,Freehold,CCR
97,11-15,1,1123,3,1600000,Condominium,04,Strata,99 yrs lease commencing from 2009,RCR
82,11-15,1,0424,3,1695000,Condominium,14,Strata,99 yrs lease commencing from 2009,RCR
68,11-15,1,1123,3,2551000,Apartment,10,Strata,Freehold,CCR
1654.4,-,1,1120,3,21000000,Detached,10,Land,Freehold,CCR
381.1,-,1,0121,3,5050000,Detached,20,Land,Freehold,RCR
256,01-05,1,0223,3,8500000,Apartment,09,Strata,Freehold,CCR
185,06-10,1,0322,3,2521000,Apartment,09,Strata,Freehold,CCR
87,01-05,1,0821,3,1280000,Apartment,11,Strata,Freehold,CCR
76,01-05,1,1223,3,1530000,Condominium,15,Strata,Freehold,OCR
414.6,-,1,0121,3,5200000,Semi-detached,16,Land,Freehold,OCR
311.1,-,1,1119,3,4000000,Semi-detached,20,Land,Freehold,OCR
112,01-05,1,1021,3,1800000,Apartment,10,Strata,Freehold,CCR
212,11-15,1,0522,3,2980000,Apartment,12,Strata,Freehold,RCR
217,01-05,1,0821,3,2250000,Apartment,15,Strata,Freehold,OCR
183.5,-,1,0722,3,3935000,Terrace,19,Land,999 yrs lease commencing from 1883,OCR
373.1,-,1,0723,3,4600000,Semi-detached,13,Land,Freehold,OCR
181.8,-,1,0522,3,4200000,Terrace,15,Land,Freehold,OCR
63,26-30,1,0923,3,1400000,Condominium,20,Strata,99 yrs lease commencing from 2013,RCR
245.5,-,1,0323,3,3480000,Terrace,13,Land,Freehold,RCR
90,01-05,1,0222,3,1200000,Apartment,14,Strata,Freehold,RCR
130,01-05,1,0524,3,3300000,Condominium,09,Strata,Freehold,CCR
175,01-05,1,1022,3,2185000,Apartment,15,Strata,Freehold,OCR
210.5,-,1,0524,3,3488000,Terrace,13,Land,Freehold,RCR
180.4,-,1,0323,3,2400000,Terrace,16,Land,99 yrs lease commencing from 1995,OCR
92,06-10,1,0422,3,1550000,Apartment,09,Strata,Freehold,CCR
150.1,-,1,0523,3,3768000,Terrace,19,Land,Freehold,OCR
67,01-05,1,0323,3,1330000,Apartment,05,Strata,Freehold,RCR
352,-,1,0523,3,3400000,Strata Detached,13,Strata,Freehold,OCR
422,-,1,0622,3,3875000,Strata Terrace,21,Strata,99 yrs lease commencing from 2004,OCR
306.1,-,1,0423,3,7000000,Semi-detached,14,Land,Freehold,OCR
211.3,-,1,0820,3,4950000,Terrace,15,Land,Freehold,OCR
395,-,1,1121,3,6180000,Detached,19,Land,Freehold,OCR
142.3,-,1,0622,3,3650000,Terrace,12,Land,Freehold,RCR
129.4,01-05,1,0422,3,8065000,Apartment,10,Strata,Freehold,CCR
164,01-05,1,0122,3,1688000,Apartment,19,Strata,Freehold,OCR
163,11-15,1,0424,3,3200000,Apartment,11,Strata,Freehold,CCR
760.8,-,1,0822,3,8680000,Detached,20,Land,Freehold,RCR
254.5,-,1,1020,3,5050000,Terrace,10,Land,Freehold,CCR
162,01-05,1,1120,3,2880000,Apartment,09,Strata,Freehold,CCR
59,01-05,1,0922,1,1493000,Condominium,19,Strata,Freehold,OCR
2628,-,1,0421,3,48000000,Detached,10,Land,Freehold,CCR
419.4,-,1,0122,3,4700000,Semi-detached,05,Land,Freehold,OCR
114,01-05,1,0823,3,1240000,Apartment,19,Strata,Freehold,OCR
448,01-05,1,0323,3,22000000,Condominium,10,Strata,Freehold,CCR
108,01-05,1,0523,3,1800000,Apartment,15,Strata,Freehold,OCR
97,01-05,1,0422,3,1100000,Apartment,14,Strata,Freehold,RCR
149,01-05,1,0723,3,1480000,Condominium,16,Strata,99 yrs lease commencing from 2000,OCR
202,01-05,1,0623,3,2730000,Condominium,15,Strata,Freehold,OCR
320.5,-,1,0922,3,4850000,Semi-detached,05,Land,Freehold,RCR
62,01-05,1,0723,3,1500000,Apartment,02,Strata,Freehold,RCR
116,01-05,1,0722,3,1468800,Apartment,19,Strata,Freehold,OCR
49,01-05,1,1023,3,1030000,Apartment,09,Strata,999 yrs lease commencing from 1841,CCR
207.3,-,1,1022,3,4200000,Terrace,19,Land,Freehold,OCR
463.4,-,1,1222,3,11438000,Semi-detached,15,Land,Freehold,RCR
621.6,-,1,0823,3,9360000,Semi-detached,21,Land,Freehold,RCR
94,01-05,1,0623,3,1250000,Apartment,14,Strata,Freehold,RCR
1899.8,-,1,0621,3,29000000,Detached,10,Land,999 yrs lease commencing from 1875,CCR
171,01-05,1,1022,3,2056000,Apartment,16,Strata,Freehold,OCR
40,01-05,1,1223,3,670000,Apartment,14,Strata,Freehold,OCR
369.7,-,1,1022,3,5350000,Terrace,14,Land,Freehold,OCR
155,-,1,1122,3,2848000,Terrace,19,Land,99 yrs lease commencing from 1997,OCR
328.6,-,1,1122,3,7300000,Semi-detached,10,Land,Freehold,CCR
38,01-05,1,1222,3,605000,Apartment,14,Strata,Freehold,RCR
179.4,-,1,0821,3,2980000,Terrace,14,Land,Freehold,RCR
104,01-05,1,0523,3,1140000,Condominium,17,Strata,99 yrs lease commencing from 1993,OCR
180.9,-,1,0324,3,4880000,Terrace,15,Land,Freehold,RCR
2391.3,-,1,1021,3,37500000,Detached,21,Land,Freehold,RCR
89,01-05,1,0822,3,1258000,Apartment,14,Strata,Freehold,RCR
814,-,1,0323,3,18500000,Detached,04,Land,99 yrs lease commencing from 2006,CCR
62,11-15,1,0723,1,1647000,Apartment,15,Strata,99 yrs lease commencing from 2022,RCR
119,06-10,1,0723,3,2500000,Condominium,19,Strata,999 yrs lease commencing from 1877,OCR
118.7,-,1,1222,3,4160000,Terrace,19,Land,Freehold,OCR
114,01-05,1,0222,3,2060000,Apartment,15,Strata,Freehold,OCR
185.4,-,1,0921,3,3100000,Terrace,14,Land,Freehold,RCR
132,01-05,1,0721,3,2380000,Apartment,11,Strata,Freehold,CCR
287,06-10,1,0623,3,13000000,Condominium,09,Strata,Freehold,CCR
153.1,-,1,0622,3,3400000,Terrace,19,Land,Freehold,OCR
68,01-05,1,0522,3,910000,Apartment,15,Strata,Freehold,OCR
168,01-05,1,0523,3,2020000,Apartment,15,Strata,Freehold,RCR
113,01-05,1,1021,3,340000,Apartment,16,Strata,60 yrs lease commencing from 1977,OCR
97,11-15,1,0623,3,2188888,Apartment,10,Strata,Freehold,CCR
208,01-05,1,0621,3,3460000,Apartment,11,Strata,Freehold,CCR
336.4,-,1,0523,3,4700000,Semi-detached,19,Land,Freehold,OCR
116,01-05,1,0823,3,1700000,Apartment,14,Strata,Freehold,OCR
121,01-05,1,0423,3,1850000,Apartment,12,Strata,Freehold,RCR
111,11-15,1,0723,1,3080000,Apartment,11,Strata,Freehold,CCR
57,01-05,1,0523,3,1020000,Apartment,12,Strata,Freehold,RCR
59,01-05,1,0224,1,1560000,Apartment,10,Strata,110 yrs lease commencing from 2017,CCR
85,11-15,1,0822,1,2454000,Apartment,09,Strata,Freehold,CCR
268,-,1,0819,3,2100000,Strata Terrace,05,Strata,Freehold,OCR
290.8,-,1,0921,3,7100000,Semi-detached,10,Land,Freehold,CCR
97,01-05,1,0223,3,1320000,Apartment,14,Strata,Freehold,RCR
102,01-05,1,0623,3,1560000,Apartment,15,Strata,Freehold,OCR
13460,16-20,60,0223,3,392180000,Condominium,15,Strata,Freehold,RCR
338,-,1,0121,3,4300000,Semi-detached,05,Land,Freehold,OCR
158.5,-,1,0423,3,3288888,Terrace,16,Land,Freehold,OCR
160.8,-,1,0723,3,3650000,Terrace,16,Land,Freehold,OCR
125,01-05,1,0321,3,1490000,Apartment,16,Strata,Freehold,OCR
66,06-10,1,0121,3,1408800,Apartment,09,Strata,Freehold,CCR
99,11-15,1,0424,3,2451800,Apartment,15,Strata,Freehold,RCR
101,06-10,1,1023,3,1288899,Apartment,14,Strata,Freehold,RCR
737.1,-,1,1222,3,17050000,Detached,04,Land,99 yrs lease commencing from 2007,CCR
171,01-05,1,0621,3,1900000,Apartment,21,Strata,Freehold,RCR
207.4,-,1,0722,3,4120000,Semi-detached,05,Land,Freehold,RCR
39,01-05,1,1022,3,620000,Apartment,14,Strata,Freehold,RCR
401.9,-,1,0823,3,10388000,Semi-detached,10,Land,Freehold,CCR
213,26-30,1,0723,3,4500000,Apartment,09,Strata,Freehold,CCR
355.4,-,1,1023,3,4800000,Terrace,19,Land,Freehold,OCR
68,01-05,1,1123,3,1645000,Condominium,15,Strata,Freehold,RCR
139,01-05,1,0622,3,1968888,Condominium,15,Strata,Freehold,OCR
407.7,-,1,0323,3,6000000,Semi-detached,16,Land,Freehold,OCR
58,01-05,1,0723,3,955000,Apartment,08,Strata,Freehold,RCR
76,06-10,1,0922,3,1368000,Apartment,15,Strata,Freehold,RCR
105,01-05,1,0423,1,2168888,Apartment,15,Strata,Freehold,OCR
151.5,-,1,0220,3,2750000,Terrace,19,Land,999 yrs lease commencing from 1883,OCR
115,01-05,1,0423,3,2380000,Apartment,11,Strata,Freehold,CCR
122,01-05,1,1022,3,2500000,Apartment,11,Strata,Freehold,CCR
120,06-10,1,0623,3,2268000,Apartment,15,Strata,Freehold,RCR
300,01-05,1,0122,3,5330000,Condominium,10,Strata,Freehold,CCR
219.8,-,1,0323,3,3900000,Terrace,14,Land,Freehold,OCR
231,11-15,1,0324,3,2300000,Executive Condominium,18,Strata,99 yrs lease commencing from 1997,OCR
157,01-05,1,0722,3,1890000,Apartment,12,Strata,Freehold,RCR
1118,-,1,0322,3,12980000,Detached,13,Land,Freehold,OCR
108,06-10,1,0623,3,1830000,Condominium,21,Strata,999 yrs lease commencing from 1877,OCR
219.4,-,1,0620,3,2450000,Terrace,13,Land,Freehold,OCR
80,01-05,1,0423,3,1780000,Condominium,10,Strata,99 yrs lease commencing from 1999,CCR
205.8,-,1,0523,3,3988000,Terrace,13,Land,Freehold,OCR
97,01-05,1,0922,3,1385000,Condominium,21,Strata,Freehold,RCR
289.8,-,1,0321,3,2950000,Terrace,19,Land,999 yrs lease commencing from 1876,OCR
498.4,-,1,0324,3,11880000,Semi-detached,15,Land,Freehold,RCR
225.4,-,1,0321,3,1968000,Semi-detached,16,Land,99 yrs lease commencing from 1994,OCR
76,01-05,1,0521,3,1220000,Apartment,15,Strata,Freehold,RCR
192.3,-,1,0421,3,3250000,Terrace,13,Land,Freehold,RCR
287,01-05,1,1223,3,3730000,Condominium,21,Strata,Freehold,RCR
47,06-10,1,0723,3,780000,Apartment,12,Strata,Freehold,RCR
120,31-35,1,0923,3,2398000,Condominium,20,Strata,99 yrs lease commencing from 2007,RCR
62,01-05,1,0823,3,818000,Condominium,14,Strata,Freehold,OCR
152.7,-,1,1122,3,3200000,Terrace,16,Land,Freehold,OCR
629,-,1,0524,3,5200000,Strata Detached,10,Strata,Freehold,CCR
210.8,-,1,0323,3,4150000,Terrace,14,Land,Freehold,OCR
471.9,-,1,0721,1,12228000,Detached,11,Land,Freehold,CCR
64,01-05,1,0224,1,2000000,Apartment,15,Strata,Freehold,RCR
373.2,-,1,1220,3,6200000,Detached,20,Land,Freehold,RCR
117,01-05,1,0221,3,1150000,Apartment,15,Strata,Freehold,OCR
118,06-10,1,0324,3,1830000,Condominium,20,Strata,99 yrs lease commencing from 1991,RCR
82,01-05,1,0524,3,1558000,Apartment,20,Strata,99 yrs lease commencing from 2012,RCR
186,16-20,1,0223,3,3350000,Condominium,10,Strata,999 yrs lease commencing from 1885,CCR
74,01-05,1,0623,3,908000,Condominium,16,Strata,99 yrs lease commencing from 2008,OCR
89,01-05,1,0424,3,1350000,Apartment,08,Strata,Freehold,RCR
313.6,-,1,0321,3,3580000,Semi-detached,14,Land,Freehold,OCR
149,01-05,1,0623,3,1600000,Apartment,19,Strata,Freehold,OCR
137,01-05,1,1123,3,3600000,Condominium,09,Strata,Freehold,CCR
152,01-05,1,1022,3,4080000,Condominium,10,Strata,Freehold,CCR
298,-,1,0122,3,3100000,Strata Terrace,15,Strata,Freehold,OCR
155.7,-,1,0623,3,3725000,Terrace,19,Land,Freehold,OCR
252,36-40,1,0323,3,5750000,Condominium,11,Strata,Freehold,CCR
90,06-10,1,0323,3,1810000,Apartment,13,Strata,Freehold,RCR
91,01-05,1,0422,3,1830000,Apartment,03,Strata,Freehold,RCR
70,01-05,1,0123,3,1190000,Apartment,19,Strata,Freehold,OCR
134,01-05,1,0723,3,2248000,Condominium,15,Strata,Freehold,RCR
231,-,1,0321,3,2625000,Terrace,16,Land,Freehold,OCR
56,01-05,1,0523,3,830000,Apartment,14,Strata,Freehold,RCR
116,01-05,1,0423,3,1480000,Apartment,14,Strata,Freehold,RCR
417.4,-,1,0223,1,9200000,Detached,13,Land,Freehold,RCR
154.2,-,1,0922,3,4228888,Terrace,14,Land,Freehold,OCR
127,01-05,1,1023,3,2430000,Apartment,09,Strata,Freehold,CCR
87,01-05,1,0623,3,1400000,Apartment,08,Strata,Freehold,RCR
87,01-05,1,1122,3,1108888,Apartment,14,Strata,Freehold,RCR
158.2,-,1,0721,3,3510000,Terrace,13,Land,Freehold,RCR
243,11-15,1,0421,3,3600000,Condominium,09,Strata,99 yrs lease commencing from 1979,CCR
41,01-05,1,0323,3,768000,Apartment,21,Strata,Freehold,RCR
124,01-05,1,0822,3,2100000,Apartment,09,Strata,Freehold,CCR
290.5,-,1,1220,3,3330000,Terrace,08,Land,Freehold,RCR
123,01-05,1,0723,3,1638000,Condominium,19,Strata,99 yrs lease commencing from 1997,OCR
97,06-10,1,1222,3,1250000,Apartment,14,Strata,Freehold,RCR
89,06-10,1,0724,3,1600000,Condominium,13,Strata,99 yrs lease commencing from 2012,RCR
356,-,1,0722,3,3100000,Strata Terrace,15,Strata,Freehold,OCR
281,-,1,0720,3,4850000,Terrace,10,Land,Freehold,CCR
676.9,-,1,0320,3,8680000,Detached,15,Land,Freehold,OCR
124,01-05,1,0521,3,1300000,Apartment,15,Strata,Freehold,OCR
37,01-05,1,1223,3,750000,Apartment,03,Strata,Freehold,RCR
363.9,-,1,1022,3,8000000,Semi-detached,11,Land,Freehold,CCR
80,01-05,1,0122,3,1155000,Apartment,15,Strata,Freehold,OCR
190.5,-,1,1019,3,2350000,Terrace,19,Land,Freehold,OCR
100,11-15,1,0723,3,1310000,Condominium,14,Strata,Freehold,OCR
66,01-05,1,1023,1,2016000,Apartment,09,Strata,Freehold,CCR
311.8,-,1,0223,3,7900000,Semi-detached,10,Land,Freehold,CCR
132,26-30,1,0723,3,3265000,Apartment,03,Strata,Freehold,RCR
137,06-10,1,1119,3,1320000,Apartment,14,Strata,Freehold,RCR
120,16-20,1,0524,3,1535000,Executive Condominium,19,Strata,99 yrs lease commencing from 1997,OCR
117,01-05,1,0821,3,1350000,Apartment,19,Strata,Freehold,OCR
111,01-05,1,0522,3,1500000,Apartment,15,Strata,Freehold,OCR
115,01-05,1,0223,3,1680000,Apartment,12,Strata,Freehold,RCR
106,01-05,1,0922,3,2180000,Apartment,10,Strata,Freehold,CCR
98,01-05,1,0223,3,1388888,Apartment,05,Strata,Freehold,RCR
630,01-05,6,0421,3,8600000,Apartment,15,Strata,Freehold,OCR
169.8,-,1,0521,3,3000000,Terrace,15,Land,Freehold,RCR
82,01-05,1,1022,3,1000000,Apartment,15,Strata,Freehold,RCR
130,01-05,1,1221,3,1705000,Apartment,15,Strata,Freehold,RCR
204.4,-,1,0621,3,3750000,Terrace,05,Land,Freehold,OCR
64,06-10,1,0623,3,970000,Condominium,18,Strata,99 yrs lease commencing from 2015,OCR
378.3,-,1,0624,3,8700000,Terrace,11,Land,Freehold,CCR
244,01-05,1,0422,3,5100000,Apartment,10,Strata,Freehold,CCR
228,11-15,1,0723,3,5750000,Apartment,10,Strata,Freehold,CCR
115,01-05,1,0222,1,1900000,Apartment,14,Strata,Freehold,OCR
171.8,-,1,1020,3,2350000,Terrace,13,Land,Freehold,RCR
93,01-05,1,1020,3,1500000,Apartment,03,Strata,Freehold,RCR
75,01-05,1,1222,3,1102000,Apartment,15,Strata,Freehold,RCR
385.9,-,1,0222,3,7000000,Semi-detached,10,Land,Freehold,CCR
252.6,-,1,0121,3,3250000,Terrace,19,Land,Freehold,OCR
222.8,-,1,0721,3,2938000,Terrace,19,Land,999 yrs lease commencing from 1879,OCR
417.3,-,1,0621,3,3500000,Detached,16,Land,99 yrs lease commencing from 2008,OCR
327.4,-,1,0123,3,2810000,Terrace,16,Land,99 yrs lease commencing from 1997,OCR
188,06-10,1,0223,3,3880000,Condominium,21,Strata,Freehold,RCR
978.2,-,1,0921,3,26800000,Detached,11,Land,Freehold,CCR
151,21-25,1,0424,1,3831000,Apartment,12,Strata,Freehold,RCR
230,01-05,1,0521,3,4250000,Apartment,10,Strata,Freehold,CCR
90,11-15,1,0922,3,1388000,Apartment,12,Strata,Freehold,RCR
197,-,1,0721,3,2768888,Terrace,19,Land,Freehold,OCR
129,01-05,1,0424,3,1850000,Executive Condominium,19,Strata,99 yrs lease commencing from 2012,OCR
231.5,-,1,0321,3,3550000,Terrace,16,Land,Freehold,OCR
145,01-05,1,0724,3,2400000,Condominium,16,Strata,99 yrs lease commencing from 1997,OCR
137,06-10,1,0722,3,1705000,Apartment,14,Strata,Freehold,RCR
120,01-05,1,0321,3,1350000,Apartment,12,Strata,Freehold,RCR
116,01-05,1,0922,3,1300000,Apartment,05,Strata,Freehold,RCR
107,01-05,1,1221,3,1860000,Apartment,11,Strata,Freehold,CCR
284.7,-,1,0422,3,5400000,Semi-detached,21,Land,Freehold,RCR
342,-,1,0321,3,2750000,Terrace,17,Land,Freehold,OCR
178,01-05,1,0521,3,2600000,Condominium,11,Strata,Freehold,CCR
379,-,1,0224,3,8911888,Detached,13,Land,Freehold,OCR
1393.9,-,1,1120,3,24150000,Detached,10,Land,Freehold,CCR
40,01-05,1,1222,3,660000,Apartment,08,Strata,Freehold,RCR
526.5,-,1,1021,3,5100000,Detached,19,Land,999 yrs lease commencing from 1878,OCR
355.2,-,1,0523,3,9300000,Semi-detached,10,Land,Freehold,CCR
127,01-05,1,0921,3,1408000,Apartment,13,Strata,Freehold,RCR
118,01-05,1,0223,3,1660000,Condominium,21,Strata,Freehold,RCR
146,01-05,1,0323,3,3630000,Condominium,10,Strata,Freehold,CCR
42,11-15,1,0723,3,810000,Apartment,19,Strata,99 yrs lease commencing from 2017,OCR
109,01-05,1,0723,3,1300000,Condominium,21,Strata,99 yrs lease commencing from 1996,RCR
102,21-25,1,1023,3,1880000,Apartment,01,Strata,99 yrs lease commencing from 2005,CCR
250.5,-,1,1021,3,4380001,Terrace,14,Land,Freehold,OCR
335.9,-,1,0421,3,4600000,Semi-detached,05,Land,Freehold,OCR
198,-,1,1220,3,1400000,Condominium,21,Strata,99 yrs lease commencing from 1981,RCR
41,01-05,1,0623,3,745000,Apartment,19,Strata,Freehold,OCR
99,11-15,1,0723,1,2136000,Apartment,19,Strata,99 yrs lease commencing from 2020,RCR
118,06-10,1,0623,3,1858000,Apartment,11,Strata,Freehold,CCR
108,01-05,1,0223,3,1330000,Apartment,15,Strata,Freehold,RCR
80,06-10,1,0622,3,900000,Apartment,14,Strata,Freehold,RCR
153,01-05,1,0920,3,2300000,Apartment,11,Strata,Freehold,CCR
82,01-05,1,0422,3,1100000,Apartment,14,Strata,Freehold,OCR
104,01-05,1,0323,3,2000000,Condominium,11,Strata,999 yrs lease commencing from 1874,CCR
1432.7,-,1,0821,3,23180000,Detached,21,Land,999 yrs lease commencing from 1879,RCR
329.1,-,1,0422,3,7488891,Semi-detached,10,Land,Freehold,CCR
603.1,-,1,0720,3,6100000,Detached,21,Land,Freehold,RCR
188,01-05,1,0324,3,3160000,Condominium,15,Strata,Freehold,OCR
358.6,-,1,0321,3,6800000,Terrace,04,Land,99 yrs lease commencing from 2004,CCR
221,01-05,1,0819,3,3100000,Apartment,10,Strata,Freehold,CCR
169.7,-,1,1120,3,3390000,Terrace,13,Land,Freehold,RCR
81,01-05,1,0622,3,1338000,Apartment,15,Strata,Freehold,OCR
204,11-15,1,0520,3,1458890,Apartment,07,Strata,99 yrs lease commencing from 1969,CCR
606.3,-,1,0424,3,11000000,Detached,21,Land,Freehold,OCR
198,01-05,1,0723,3,2290000,Apartment,10,Strata,99 yrs lease commencing from 1975,CCR
93,11-15,1,0424,3,2150000,Condominium,15,Strata,Freehold,RCR
219,-,1,1121,3,6980000,Semi-detached,10,Land,Freehold,CCR
179.7,-,1,0424,3,5250000,Terrace,20,Land,Freehold,RCR
644.7,-,1,0521,3,7650000,Detached,16,Land,Freehold,OCR
159,-,1,0422,3,3400000,Terrace,14,Land,Freehold,OCR
2039.4,-,1,1220,3,37000000,Detached,10,Land,Freehold,CCR
371.6,-,1,0120,3,4100000,Semi-detached,15,Land,Freehold,RCR
59,16-20,1,0421,1,1720000,Apartment,09,Strata,Freehold,CCR
58,01-05,1,0920,3,1250000,Apartment,09,Strata,Freehold,CCR
278.4,-,1,0421,3,3283500,Terrace,16,Land,Freehold,OCR
416,-,1,1123,3,6500000,Terrace,05,Land,956 yrs lease commencing from 1928,OCR
200,-,1,0121,3,3580000,Terrace,19,Land,Freehold,OCR
463.9,-,1,0621,3,5000000,Detached,19,Land,999 yrs lease commencing from 1874,OCR
156.1,-,1,0724,3,3300000,Terrace,20,Land,Freehold,RCR
47,11-15,1,0723,3,790000,Apartment,12,Strata,Freehold,RCR
207.1,-,1,0122,3,5000000,Semi-detached,21,Land,Freehold,RCR
40,01-05,1,0124,3,890000,Condominium,04,Strata,Freehold,RCR
188,11-15,1,0821,3,2680000,Apartment,12,Strata,Freehold,RCR
183,01-05,1,0423,3,3940000,Condominium,10,Strata,Freehold,CCR
231.5,-,1,0121,3,3250000,Semi-detached,14,Land,Freehold,OCR
119,01-05,1,1122,3,1600000,Apartment,16,Strata,Freehold,OCR
297,01-05,1,0321,3,3650000,Apartment,11,Strata,Freehold,CCR
243,06-10,1,1123,3,3600000,Condominium,05,Strata,Freehold,RCR
86,21-25,1,1023,3,1668000,Condominium,11,Strata,Freehold,CCR
102,01-05,1,0819,3,1330000,Apartment,15,Strata,Freehold,OCR
229.6,-,1,0819,3,2880000,Terrace,19,Land,999 yrs lease commencing from 1886,OCR
175,11-15,1,0823,3,4150000,Apartment,10,Strata,Freehold,CCR
651.7,-,1,0523,3,15800000,Detached,15,Land,Freehold,RCR
140,01-05,1,0822,3,2050000,Apartment,19,Strata,999 yrs lease commencing from 1878,OCR
378,-,1,0921,3,3300000,Strata Terrace,21,Strata,Freehold,RCR
125,26-30,1,1023,3,3130000,Condominium,09,Strata,Freehold,CCR
54,01-05,1,0723,3,800000,Condominium,19,Strata,Freehold,OCR
221.8,-,1,0424,3,5200000,Semi-detached,21,Land,Freehold,RCR
136,11-15,1,0623,3,3410000,Condominium,11,Strata,Freehold,CCR
81,16-20,1,0623,3,1280000,Apartment,07,Strata,99 yrs lease commencing from 1996,RCR
108,11-15,1,0523,3,2290000,Condominium,19,Strata,Freehold,OCR
451,-,1,0422,3,3550000,Strata Semi-detached,20,Strata,Freehold,RCR
174,16-20,1,0820,3,1088000,Apartment,12,Strata,Freehold,RCR
334.2,-,1,0522,3,6080000,Semi-detached,13,Land,Freehold,OCR
61,01-05,1,1023,3,800000,Condominium,19,Strata,99 yrs lease commencing from 2011,OCR
113,01-05,1,0723,3,1480000,Executive Condominium,19,Strata,99 yrs lease commencing from 2012,OCR
110,01-05,1,0424,3,1550000,Condominium,18,Strata,99 yrs lease commencing from 2010,OCR
105,01-05,1,0324,3,1658000,Apartment,12,Strata,Freehold,RCR
1015.5,-,1,0723,3,22250000,Detached,11,Land,Freehold,CCR
88,01-05,1,0423,3,1850000,Condominium,21,Strata,Freehold,RCR
71,01-05,1,0422,3,1060000,Apartment,15,Strata,Freehold,RCR
402.2,-,1,0323,3,6300000,Detached,10,Land,99 yrs lease commencing from 1995,CCR
56,06-10,1,0723,3,999000,Apartment,04,Strata,Freehold,RCR
211,01-05,1,0624,3,2325000,Apartment,15,Strata,Freehold,RCR
49,01-05,1,0723,3,803000,Apartment,14,Strata,99 yrs lease commencing from 2012,RCR
83,11-15,1,0723,1,1240000,Executive Condominium,18,Strata,99 yrs lease commencing from 2021,OCR
122,01-05,1,0523,3,1570000,Apartment,19,Strata,Freehold,OCR
135,01-05,1,0422,3,1674000,Apartment,15,Strata,Freehold,RCR
67,01-05,1,0424,3,1320000,Condominium,21,Strata,Freehold,RCR
42,01-05,1,0323,3,655000,Apartment,12,Strata,Freehold,RCR
195.7,-,1,0422,3,3536000,Terrace,15,Land,Freehold,OCR
154,01-05,1,0123,3,2580000,Apartment,10,Strata,Freehold,CCR
143.9,-,1,0521,3,4500000,Terrace,09,Land,Freehold,CCR
110,01-05,1,0122,3,2230000,Apartment,10,Strata,Freehold,CCR
96,01-05,1,0522,3,1438888,Apartment,15,Strata,Freehold,OCR
458,-,1,0122,3,3500000,Strata Terrace,19,Strata,Freehold,OCR
64,01-05,1,0723,3,1025000,Apartment,15,Strata,Freehold,RCR
71,01-05,1,0523,3,1368000,Apartment,10,Strata,Freehold,CCR
107,01-05,1,0723,3,1275000,Condominium,20,Strata,99 yrs lease commencing from 1982,OCR
575,-,1,1023,3,9088800,Semi-detached,11,Land,Freehold,RCR
210.1,-,1,1020,3,4950000,Terrace,11,Land,Freehold,CCR
61,01-05,1,0120,3,550000,Apartment,14,Strata,Freehold,RCR
129,01-05,1,0621,3,1500000,Apartment,15,Strata,Freehold,RCR
107,06-10,1,0922,3,1530000,Apartment,12,Strata,Freehold,RCR
59,01-05,1,0423,3,990000,Apartment,15,Strata,Freehold,RCR
322,01-05,1,0822,3,9500000,Condominium,10,Strata,Freehold,CCR
